product_category_name,total_orders,total_revenue,average_price,item_count,average_review_score,growth_rate,revenue_potential,order_demand,growth_potential,customer_satisfaction,profit_proxy,opportunity_score,opportunity_level,opportunity_type,data_quality_confidence,sample_size_confidence,metric_completeness,confidence_score
pc_gamer,8,1679.52,171.77222222222224,9,3.0,-50.0,0.09403760460409155,0.06372809346787042,0.04820825968182549,60.0,13.646797145013394,7.420875084169991,Low,product,99.3646,26.666666666666668,100.0,77.68
artigos_de_festas,39,5313.150000000001,104.30651162790699,43,3.0,1300.0,0.34621128687770225,0.39298990971853426,1.783705608227543,60.0,7.359208772782763,7.3839581428281065,Low,product,99.3646,100.0,100.0,99.68
alimentos_bebidas,227,19687.47,54.602446043165465,278,3.0,220.00000000000003,1.3437881465412365,2.389803505045141,0.39530772939096903,60.0,2.7269488874249,7.372109141313888,Low,product,99.3646,100.0,100.0,99.68
cine_foto,65,8189.66,96.29805555555555,72,3.0,800.0,0.5458408911018152,0.6691449814126395,1.1409288124698698,60.0,6.6128462897308244,7.277555344774255,Low,product,99.3646,100.0,100.0,99.68
la_cuisine,13,2388.54,146.785,14,3.0,0.0,0.14324354582695556,0.1168348380244291,0.11248593925759282,60.0,11.318067980008118,7.232110056069405,Low,product,99.3646,43.333333333333336,100.0,82.68
artigos_de_natal,128,12030.12,57.52169934640523,153,3.0,1000.0,0.8123685617299505,1.338289962825279,1.398039530772939,60.0,2.99901395519568,7.227694337438108,Low,product,99.3646,100.0,100.0,99.68
fashion_roupa_masculina,112,12950.23,81.80166666666666,132,3.0,200.0,0.8762241350262882,1.168348380244291,0.36959665756066207,60.0,5.261829226185786,7.173536422577703,Low,product,99.3646,100.0,100.0,99.68
seguros_e_servicos,2,324.51,141.64499999999998,2,3.0,0.0,0.0,0.0,0.11248593925759282,60.0,10.839036425332866,7.112025127347684,Low,product,99.3646,6.666666666666667,100.0,71.68
moveis_colchao_e_estofado,38,5998.54,114.94947368421053,38,3.0,0.0,0.3937773076595402,0.38236856080722254,0.11248593925759282,60.0,8.351098784491091,7.076956695763175,Low,product,99.3646,100.0,100.0,99.68
fashion_underwear_e_moda_praia,121,11457.74,72.83625954198473,131,3.0,0.0,0.7726454274923508,1.2639405204460967,0.11248593925759282,60.0,4.42628196680194,7.018528439853822,Low,product,99.3646,100.0,100.0,99.68
tablets_impressao_imagem,79,8754.61,90.70373493975903,83,3.0,-87.5,0.5850483838296043,0.8178438661710037,0.0,60.0,6.091473507252843,6.989122832416917,Low,product,99.3646,100.0,100.0,99.68
dvds_blu_ray,59,7288.13,93.74046875,64,3.0,0.0,0.483274768579674,0.605416887944769,0.11248593925759282,60.0,6.37448738239966,6.961906875614459,Low,product,99.3646,100.0,100.0,99.68
artes_e_artesanato,23,2184.14,75.58375,24,3.0,800.0,0.1290581993121134,0.22304832713754646,1.1409288124698698,60.0,4.682339286949504,6.847945673390438,Low,product,99.3646,76.66666666666667,100.0,92.68
livros_importados,53,5409.7,77.33083333333335,60,3.0,0.0,0.3529118505078784,0.5416887944768985,0.11248593925759282,60.0,4.845161863858822,6.753933424971868,Low,product,99.3646,100.0,100.0,99.68
fashion_esporte,27,2697.64,70.65033333333334,30,3.0,0.0,0.164695065434283,0.2655337227827934,0.11248593925759282,60.0,4.222560637981774,6.566169498938559,Low,product,99.3646,90.0,100.0,96.68
fashion_roupa_feminina,39,3425.39,58.409166666666664,48,3.0,100.0,0.21520086742144742,0.39298990971853426,0.24104129840912744,60.0,3.081723070010528,6.531240369259403,Low,product,99.3646,100.0,100.0,99.68
fashion_roupa_infanto_juvenil,8,665.36,71.23125,8,3.0,0.0,0.023654967512641685,0.06372809346787042,0.11248593925759282,60.0,4.276700212684128,6.478820019703571,Low,product,99.3646,26.666666666666668,100.0,77.68
fraldas_higiene,27,2141.27,40.19461538461538,39,3.0,200.0,0.12608302414043393,0.2655337227827934,0.36959665756066207,60.0,1.3841851676071946,6.335026019088713,Low,product,99.3646,90.0,100.0,96.68
cds_dvds_musicais,12,954.99,52.142857142857146,14,3.0,-75.0,0.043755270404489746,0.10621348911311736,0.016069419893941828,60.0,2.497723071320486,6.293469615505161,Low,product,99.3646,40.0,100.0,81.68
flores,29,1598.91,33.63757575757575,33,3.0,-66.66666666666666,0.08844327592228418,0.2867764206054169,0.02678236648990306,60.0,0.7730900534811193,6.182231684898627,Low,product,99.3646,96.66666666666667,100.0,98.68
casa_conforto_2,24,1170.58,25.342333333333332,30,3.0,0.0,0.05871720218107891,0.2336696760488582,0.11248593925759282,60.0,0.0,6.1041540644809364,Low,product,99.3646,80.0,100.0,93.68
